nct_id,location,continent,iso
NCT03808779,Ukraine,Europe,UKR
NCT03822507,China,East Asia,CHN
NCT03822507,Hong Kong,East Asia,HKG
NCT03822507,"Korea, Republic of",East Asia,KOR
NCT03822507,Taiwan,East Asia,TWN
NCT03830242,China,East Asia,CHN
NCT03831620,Switzerland,Europe,CHE
NCT03835728,United States,North America,USA
NCT03836300,United States,North America,USA
NCT03845647,China,East Asia,CHN
NCT03866382,Puerto Rico,Central America,PRI
NCT03866382,United States,North America,USA
NCT03872284,France,Europe,FRA
NCT03878953,Japan,East Asia,JPN
NCT03880578,Germany,Europe,DEU
NCT03887611,China,East Asia,CHN
NCT03889431,Ethiopia,Africa,ETH
NCT03896958,United States,North America,USA
NCT03898622,Mexico,North America,MEX
NCT03910049,Greece,Europe,GRC
NCT03922321,Canada,North America,CAN
NCT03924804,China,East Asia,CHN
NCT03931109,United States,North America,USA
NCT03935984,United States,North America,USA
NCT03937349,Russian Federation,North Asia,RUS
NCT03938545,Canada,North America,CAN
NCT03938545,Germany,Europe,DEU
NCT03938545,Italy,Europe,ITA
NCT03938545,Spain,Europe,ESP
NCT03938545,United States,North America,USA
NCT03941184,United States,North America,USA
NCT03948191,China,East Asia,CHN
NCT03957616,France,Europe,FRA
NCT03960437,United States,North America,USA
NCT03960554,United States,North America,USA
NCT03969108,Canada,North America,CAN
NCT03969329,Belgium,Europe,BEL
NCT03969329,Czechia,Europe,CZE
NCT03969329,France,Europe,FRA
NCT03969329,Germany,Europe,DEU
NCT03969329,Greece,Europe,GRC
NCT03969329,Hungary,Europe,HUN
NCT03969329,Italy,Europe,ITA
NCT03969329,Lithuania,Europe,LTU
NCT03969329,Poland,Europe,POL
NCT03969329,Portugal,Europe,PRT
NCT03969329,Spain,Europe,ESP
NCT03969329,United Kingdom,Europe,GBR
NCT03980132,Spain,Europe,ESP
NCT03986593,Brazil,South America,BRA
NCT04009863,Hong Kong,East Asia,HKG
NCT04012476,Spain,Europe,ESP
NCT04013139,"Iran, Islamic Republic of",Middle East,IRN
NCT04019379,United States,North America,USA
NCT04031638,France,Europe,FRA
NCT04040946,France,Europe,FRA
NCT04046354,China,East Asia,CHN
NCT04053114,France,Europe,FRA
NCT04064827,Puerto Rico,Central America,PRI
NCT04064827,United States,North America,USA
NCT04075851,China,East Asia,CHN
NCT04080505,United States,North America,USA
NCT04085419,Slovenia,Europe,SVN
NCT04085913,United States,North America,USA
NCT04096612,China,East Asia,CHN
NCT04106596,France,Europe,FRA
NCT04106843,United States,North America,USA
NCT04126954,France,Europe,FRA
NCT04129281,Italy,Europe,ITA
NCT04135573,China,East Asia,CHN
NCT04141540,France,Europe,FRA
NCT04146259,Greece,Europe,GRC
NCT04171622,United States,North America,USA
NCT04175522,"Korea, Republic of",East Asia,KOR
NCT04180007,China,East Asia,CHN
NCT04193332,Denmark,Europe,DNK
NCT04216732,United States,North America,USA
NCT04239521,United Kingdom,Europe,GBR
NCT04267965,Taiwan,East Asia,TWN
NCT04270110,Egypt,Africa,EGY
NCT04281875,United States,North America,USA
NCT04284774,Puerto Rico,Central America,PRI
NCT04284774,United States,North America,USA
NCT04288115,United States,North America,USA
NCT04288531,Portugal,Europe,PRT
NCT04298684,France,Europe,FRA
NCT04298684,Guadeloupe,Central America,GLP
NCT04298684,Réunion,Africa,REU
NCT04299425,United States,North America,USA
NCT04305561,Denmark,Europe,DNK
NCT04311606,United States,North America,USA
NCT04329455,Egypt,Africa,EGY
NCT04333342,"Korea, Republic of",East Asia,KOR
NCT04339127,France,Europe,FRA
NCT04339205,France,Europe,FRA
NCT04344886,Czechia,Europe,CZE
NCT04354896,Netherlands,Europe,NLD
NCT04354896,Switzerland,Europe,CHE
NCT04359979,Israel,Middle East,ISR
NCT04373226,France,Europe,FRA
NCT04383795,"Korea, Republic of",East Asia,KOR
NCT04396912,Turkey,Middle East,TUR
NCT04410601,Turkey,Middle East,TUR
NCT04411290,Turkey,Middle East,TUR
NCT04412694,Poland,Europe,POL
NCT04424485,Turkey,Middle East,TUR
NCT04433936,Egypt,Africa,EGY
NCT04458233,Israel,Middle East,ISR
NCT04463316,Netherlands,Europe,NLD
NCT04463719,United States,North America,USA
NCT04467021,United States,North America,USA
NCT04472026,United States,North America,USA
NCT04477798,China,East Asia,CHN
NCT04482907,Turkey,Middle East,TUR
NCT04484116,Mexico,North America,MEX
NCT04488406,Italy,Europe,ITA
NCT04509011,Austria,Europe,AUT
NCT04509011,Norway,Europe,NOR
NCT04509011,Poland,Europe,POL
NCT04509011,Sweden,Europe,SWE
NCT04514484,United States,North America,USA
NCT04522622,Denmark,Europe,DNK
NCT04548284,China,East Asia,CHN
NCT04560127,China,East Asia,CHN
NCT04564924,China,East Asia,CHN
NCT04569604,Denmark,Europe,DNK
NCT04574258,China,East Asia,CHN
NCT04574947,Russian Federation,North Asia,RUS
NCT04583735,United States,North America,USA
NCT04598815,Italy,Europe,ITA
NCT04601298,China,East Asia,CHN
NCT04604808,Spain,Europe,ESP
NCT04610723,France,Europe,FRA
NCT04614389,United States,North America,USA
NCT04632524,Egypt,Africa,EGY
NCT04637360,Taiwan,East Asia,TWN
NCT04639388,France,Europe,FRA
NCT04639960,Switzerland,Europe,CHE
NCT04647006,Turkey,Middle East,TUR
NCT04647500,Switzerland,Europe,CHE
NCT04662190,Spain,Europe,ESP
NCT04663451,Belgium,Europe,BEL
NCT04666103,China,East Asia,CHN
NCT04671719,France,Europe,FRA
NCT04680650,China,East Asia,CHN
NCT04682340,Poland,Europe,POL
NCT04683575,China,East Asia,CHN
NCT04704414,Switzerland,Europe,CHE
NCT04708626,Sweden,Europe,SWE
NCT04714918,China,East Asia,CHN
NCT04730726,Netherlands,Europe,NLD
NCT04731740,Russian Federation,North Asia,RUS
NCT04737330,Germany,Europe,DEU
NCT04740502,Italy,Europe,ITA
