index,nct_id,category_age
897,NCT01273597,[18-65]
897,NCT01273597,[65 and more]
903,NCT01280214,[18-65]
903,NCT01280214,[65 and more]
908,NCT01286753,[18-65]
908,NCT01286753,[65 and more]
911,NCT01290029,[0-17]
913,NCT01291498,[18-65]
913,NCT01291498,[65 and more]
917,NCT01295333,[18-65]
917,NCT01295333,[65 and more]
923,NCT01297699,[18-65]
923,NCT01297699,[65 and more]
929,NCT01306656,[18-65]
929,NCT01306656,[65 and more]
931,NCT01306916,[18-65]
931,NCT01306916,[65 and more]
933,NCT01307761,[18-65]
933,NCT01307761,[65 and more]
935,NCT01308320,[18-65]
939,NCT01320813,[18-65]
939,NCT01320813,[65 and more]
945,NCT01322165,[0-17]
945,NCT01322165,[18-65]
945,NCT01322165,[65 and more]
948,NCT01329666,[18-65]
948,NCT01329666,[65 and more]
953,NCT01335802,[18-65]
954,NCT01335828,[18-65]
954,NCT01335828,[65 and more]
959,NCT01341782,[18-65]
959,NCT01341782,[65 and more]
960,NCT01341886,[0-17]
960,NCT01341886,[18-65]
960,NCT01341886,[65 and more]
970,NCT01368042,[18-65]
970,NCT01368042,[65 and more]
972,NCT01369953,[18-65]
972,NCT01369953,[65 and more]
977,NCT01379196,[18-65]
977,NCT01379196,[65 and more]
983,NCT01382212,[0-17]
986,NCT01382966,[18-65]
986,NCT01382966,[65 and more]
988,NCT01384786,[18-65]
988,NCT01384786,[65 and more]
991,NCT01395134,[18-65]
991,NCT01395134,[65 and more]
992,NCT01396733,[18-65]
992,NCT01396733,[65 and more]
995,NCT01398774,[0-17]
995,NCT01398774,[18-65]
996,NCT01401478,[18-65]
996,NCT01401478,[65 and more]
1001,NCT01408368,[18-65]
1001,NCT01408368,[65 and more]
1003,NCT01409798,[18-65]
1003,NCT01409798,[65 and more]
1007,NCT01413113,[18-65]
1007,NCT01413113,[65 and more]
1010,NCT01414114,[18-65]
1010,NCT01414114,[65 and more]
1015,NCT01421407,[18-65]
1015,NCT01421407,[65 and more]
1020,NCT01426724,[18-65]
1020,NCT01426724,[65 and more]
1025,NCT01428167,[18-65]
1025,NCT01428167,[65 and more]
1028,NCT01436994,[0-17]
1033,NCT01439867,[0-17]
1035,NCT01441154,[18-65]
1035,NCT01441154,[65 and more]
1039,NCT01447368,[18-65]
1039,NCT01447368,[65 and more]
1042,NCT01453634,[18-65]
1042,NCT01453634,[65 and more]
1046,NCT01458600,[18-65]
1046,NCT01458600,[65 and more]
1050,NCT01460030,[18-65]
1050,NCT01460030,[65 and more]
1056,NCT01465867,[18-65]
1057,NCT01471288,[18-65]
1057,NCT01471288,[65 and more]
1060,NCT01479088,[0-17]
1060,NCT01479088,[18-65]
1064,NCT01484379,[65 and more]
1065,NCT01486667,[18-65]
1065,NCT01486667,[65 and more]
1076,NCT01506947,[18-65]
1076,NCT01506947,[65 and more]
1082,NCT01528904,[18-65]
1086,NCT01530919,[0-17]
1086,NCT01530919,[18-65]
1086,NCT01530919,[65 and more]
1087,NCT01534169,[18-65]
1093,NCT01539486,[18-65]
1093,NCT01539486,[65 and more]
1094,NCT01539499,[18-65]
1094,NCT01539499,[65 and more]
1096,NCT01545622,[18-65]
1096,NCT01545622,[65 and more]
1102,NCT01558115,[18-65]
1102,NCT01558115,[65 and more]
1103,NCT01560299,[18-65]
1103,NCT01560299,[65 and more]
1107,NCT01571843,[18-65]
1107,NCT01571843,[65 and more]
1113,NCT01574287,[18-65]
1113,NCT01574287,[65 and more]
1114,NCT01574859,[0-17]
1114,NCT01574859,[18-65]
1114,NCT01574859,[65 and more]
1116,NCT01576146,[18-65]
1116,NCT01576146,[65 and more]
1118,NCT01579344,[18-65]
1118,NCT01579344,[65 and more]
1119,NCT01579539,[18-65]
1119,NCT01579539,[65 and more]
1127,NCT01598727,[18-65]
1127,NCT01598727,[65 and more]
1129,NCT01599273,[18-65]
1129,NCT01599273,[65 and more]
1133,NCT01609946,[18-65]
1133,NCT01609946,[65 and more]
1135,NCT01611896,[18-65]
1135,NCT01611896,[65 and more]
1136,NCT01616108,[0-17]
1136,NCT01616108,[18-65]
1136,NCT01616108,[65 and more]
1140,NCT01617694,[18-65]
1145,NCT01633853,[18-65]
1145,NCT01633853,[65 and more]
1146,NCT01638533,[18-65]
1146,NCT01638533,[65 and more]
1150,NCT01647503,[0-17]
1150,NCT01647503,[18-65]
1150,NCT01647503,[65 and more]
1155,NCT01648569,[0-17]
1155,NCT01648569,[18-65]
1157,NCT01649206,[18-65]
1157,NCT01649206,[65 and more]
1158,NCT01651000,[18-65]
1158,NCT01651000,[65 and more]
1161,NCT01653379,[18-65]
1161,NCT01653379,[65 and more]
1164,NCT01655719,[18-65]
1164,NCT01655719,[65 and more]
1170,NCT01660126,[65 and more]
1172,NCT01661179,[18-65]
1172,NCT01661179,[65 and more]
1174,NCT01665651,[18-65]
1178,NCT01675089,[18-65]
1178,NCT01675089,[65 and more]
1180,NCT01690806,[0-17]
1180,NCT01690806,[18-65]
1180,NCT01690806,[65 and more]
1187,NCT01704079,[18-65]
1187,NCT01704079,[65 and more]
1189,NCT01704586,[18-65]
1189,NCT01704586,[65 and more]
1199,NCT01725113,[18-65]
1199,NCT01725113,[65 and more]
1202,NCT01727973,[18-65]
1208,NCT01738243,[18-65]
1208,NCT01738243,[65 and more]
1213,NCT01739972,[18-65]
1213,NCT01739972,[65 and more]
1214,NCT01741064,[18-65]
1214,NCT01741064,[65 and more]
1218,NCT01744769,[18-65]
1218,NCT01744769,[65 and more]
1221,NCT01750593,[18-65]
1221,NCT01750593,[65 and more]
1224,NCT01756534,[18-65]
1224,NCT01756534,[65 and more]
1226,NCT01757834,[18-65]
1226,NCT01757834,[65 and more]
1230,NCT01760421,[18-65]
1242,NCT01776502,[0-17]
1242,NCT01776502,[18-65]
1243,NCT01778400,[18-65]
1243,NCT01778400,[65 and more]
1245,NCT01779817,[0-17]
1248,NCT01781923,[0-17]
1252,NCT01783002,[18-65]
1252,NCT01783002,[65 and more]
1255,NCT01785849,[18-65]
1255,NCT01785849,[65 and more]
1256,NCT01785875,[18-65]
1256,NCT01785875,[65 and more]
1261,NCT01788046,[18-65]
1261,NCT01788046,[65 and more]
1262,NCT01788982,[18-65]
1262,NCT01788982,[65 and more]
1263,NCT01789541,[18-65]
1263,NCT01789541,[65 and more]
1266,NCT01794676,[0-17]
1266,NCT01794676,[18-65]
1266,NCT01794676,[65 and more]
1268,NCT01798966,[18-65]
1268,NCT01798966,[65 and more]
1273,NCT01805856,[0-17]
1273,NCT01805856,[18-65]
1273,NCT01805856,[65 and more]
1274,NCT01809444,[18-65]
1281,NCT01811212,[18-65]
1281,NCT01811212,[65 and more]
1287,NCT01821781,[0-17]
1287,NCT01821781,[18-65]
1288,NCT01830504,[18-65]
1288,NCT01830504,[65 and more]
1290,NCT01832753,[0-17]
1290,NCT01832753,[18-65]
1292,NCT01837433,[18-65]
1292,NCT01837433,[65 and more]
1294,NCT01837745,[18-65]
1294,NCT01837745,[65 and more]
1295,NCT01838031,[18-65]
1297,NCT01838629,[0-17]
1297,NCT01838629,[18-65]
1297,NCT01838629,[65 and more]
1302,NCT01853579,[65 and more]
1303,NCT01856920,[18-65]
1303,NCT01856920,[65 and more]
1306,NCT01868750,[18-65]
1306,NCT01868750,[65 and more]
1308,NCT01868997,[18-65]
1308,NCT01868997,[65 and more]
1315,NCT01880203,[18-65]
1315,NCT01880203,[65 and more]
1320,NCT01884649,[18-65]
1320,NCT01884649,[65 and more]
1321,NCT01885533,[18-65]
1321,NCT01885533,[65 and more]
1324,NCT01889134,[18-65]
1324,NCT01889134,[65 and more]
1328,NCT01893450,[18-65]
1332,NCT01896232,[18-65]
1332,NCT01896232,[65 and more]
1344,NCT01922843,[18-65]
1344,NCT01922843,[65 and more]
1347,NCT01927406,[18-65]
1347,NCT01927406,[65 and more]
1352,NCT01927887,[18-65]
1352,NCT01927887,[65 and more]
1355,NCT01932970,[18-65]
1355,NCT01932970,[65 and more]
1361,NCT01939977,[18-65]
1361,NCT01939977,[65 and more]
1364,NCT01945762,[18-65]
1364,NCT01945762,[65 and more]
1366,NCT01950260,[18-65]
1366,NCT01950260,[65 and more]
1373,NCT01969019,[18-65]
1373,NCT01969019,[65 and more]
1379,NCT01985204,[18-65]
1381,NCT01996072,[18-65]
1381,NCT01996072,[65 and more]
1385,NCT01999790,[18-65]
1385,NCT01999790,[65 and more]
1397,NCT02017080,[18-65]
1400,NCT02024906,[18-65]
1400,NCT02024906,[65 and more]
1401,NCT02041260,[18-65]
1401,NCT02041260,[65 and more]
1404,NCT02054572,[18-65]
1404,NCT02054572,[65 and more]
1405,NCT02055989,[18-65]
1405,NCT02055989,[65 and more]
1407,NCT02056730,[18-65]
1407,NCT02056730,[65 and more]
1409,NCT02059655,[18-65]
1409,NCT02059655,[65 and more]
1413,NCT02061111,[18-65]
