index,nct_id,location,continent,iso
2836,NCT04482907,Turkey,Middle East,TUR
2841,NCT04484116,Mexico,North America,MEX
2844,NCT04488406,Italy,Europe,ITA
2854,NCT04509011,Austria,Europe,AUT
2854,NCT04509011,Norway,Europe,NOR
2854,NCT04509011,Poland,Europe,POL
2854,NCT04509011,Sweden,Europe,SWE
2855,NCT04514484,United States,North America,USA
2859,NCT04522622,Denmark,Europe,DNK
2869,NCT04548284,China,East Asia,CHN
2878,NCT04560127,China,East Asia,CHN
2883,NCT04564924,China,East Asia,CHN
2888,NCT04569604,Denmark,Europe,DNK
2892,NCT04574258,China,East Asia,CHN
2895,NCT04574947,Russian Federation,North Asia,RUS
2904,NCT04583735,United States,North America,USA
2913,NCT04598815,Italy,Europe,ITA
2920,NCT04601298,China,East Asia,CHN
2921,NCT04604808,Spain,Europe,ESP
2926,NCT04610723,France,Europe,FRA
