,PMID,Condition,Category
1031,14669942,thyroid gland,thyroid disease
1032,12674153,graves disease,hyperthyroidism
1032,12674153,graves' disease,hyperthyroidism
1032,12674153,thyrotoxicosis,hyperthyroidism
1033,12653721,graves disease,hyperthyroidism
1034,12160296,graves disease,hyperthyroidism
1035,12021647,graves disease,hyperthyroidism
1036,14669940,hyperthyroidism,hyperthyroidism
1036,14669940,graves disease,hyperthyroidism
1036,14669940,graves' disease,hyperthyroidism
1036,14669940,hypothyroidism,hypothyroidism
1036,14669940,"thyroiditis, autoimmune",thyroiditis
1036,14669940,thyroiditis,thyroiditis
1037,14605603,graves disease,hyperthyroidism
1037,14605603,graves' disease,hyperthyroidism
1038,14535973,hyperthyroidism,hyperthyroidism
1038,14535973,graves disease,hyperthyroidism
1038,14535973,graves' disease,hyperthyroidism
1039,12501244,graves disease,hyperthyroidism
1039,12501244,graves' disease,hyperthyroidism
1039,12501244,thyroid disease,thyroid disease
1039,12501244,thyroid diseases,thyroid disease
1040,11865341,goiter,goiter
1040,11865341,"goiter, endemic",goiter
1040,11865341,thyroid neoplasms,thyroid neoplasms
1040,11865341,thyroidectomy,thyroid disease
1041,12930371,graves disease,hyperthyroidism
1041,12930371,graves' disease,hyperthyroidism
1041,12930371,"thyroiditis, autoimmune",thyroiditis
1041,12930371,thyroiditis,thyroiditis
1041,12930371,thyroid disease,thyroid disease
1041,12930371,thyroid diseases,thyroid disease
1042,11876756,graves disease,hyperthyroidism
1042,11876756,graves' disease,hyperthyroidism
1043,12856147,graves disease,hyperthyroidism
1043,12856147,graves' disease,hyperthyroidism
1044,12529710,graves disease,hyperthyroidism
1044,12529710,graves' disease,hyperthyroidism
1044,12529710,"thyroiditis, autoimmune",thyroiditis
1044,12529710,thyroiditis,thyroiditis
1045,12919165,hyperthyroidism,hyperthyroidism
1045,12919165,graves disease,hyperthyroidism
1045,12919165,graves' disease,hyperthyroidism
1045,12919165,hypothyroidism,hypothyroidism
1045,12919165,"thyroiditis, autoimmune",thyroiditis
1045,12919165,thyroiditis,thyroiditis
1045,12919165,thyroid disease,thyroid disease
1046,11994387,graves disease,hyperthyroidism
1047,12884749,graves disease,hyperthyroidism
1047,12884749,thyroid disease,thyroid disease
1047,12884749,thyroid diseases,thyroid disease
1048,12881459,graves disease,hyperthyroidism
1048,12881459,thyroid gland,thyroid disease
1049,12867863,graves disease,hyperthyroidism
