,PMID,Condition,Category
11121,23641786,hypothyroidism,hypothyroidism
11121,23641786,hashimoto disease,thyroiditis
11122,23219871,graves ophthalmopathy,hyperthyroidism
11123,22669062,graves disease,hyperthyroidism
11123,22669062,graves' disease,hyperthyroidism
11123,22669062,hashimoto disease,thyroiditis
11124,23560557,graves disease,hyperthyroidism
11124,23560557,graves' disease,hyperthyroidism
11124,23560557,thyrotoxicosis,hyperthyroidism
11124,23560557,thyroid crisis,hyperthyroidism
11125,23399378,graves disease,hyperthyroidism
11126,23247033,graves ophthalmopathy,hyperthyroidism
11127,22654589,graves ophthalmopathy,hyperthyroidism
11128,24366638,goiter,goiter
11128,24366638,"goiter, nodular",goiter
11128,24366638,thyroid neoplasms,thyroid neoplasms
11128,24366638,thyroid nodule,thyroid nodule
11128,24366638,thyroid gland,thyroid disease
11129,23743889,graves disease,hyperthyroidism
11129,23743889,hypothyroidism,hypothyroidism
11129,23743889,thyroid disease,thyroid disease
11129,23743889,thyroid diseases,thyroid disease
11129,23743889,thyroid gland,thyroid disease
11130,22505695,graves disease,hyperthyroidism
11130,22505695,hypothyroidism,hypothyroidism
11130,22505695,hashimoto disease,thyroiditis
11130,22505695,thyroiditis,thyroiditis
11130,22505695,thyroid disease,thyroid disease
11130,22505695,thyroid gland,thyroid disease
11131,23291813,hyperthyroidism,hyperthyroidism
11131,23291813,graves ophthalmopathy,hyperthyroidism
11131,23291813,hypothyroidism,hypothyroidism
11132,23259296,graves disease,hyperthyroidism
11133,22157920,graves ophthalmopathy,hyperthyroidism
11134,24286413,graves ophthalmopathy,hyperthyroidism
11135,24160978,graves ophthalmopathy,hyperthyroidism
11136,23229698,graves ophthalmopathy,hyperthyroidism
11137,24029729,goiter,goiter
11137,24029729,hyperthyroidism,hyperthyroidism
11137,24029729,graves disease,hyperthyroidism
11137,24029729,graves' disease,hyperthyroidism
11137,24029729,thyroid gland,thyroid disease
11138,23295466,graves ophthalmopathy,hyperthyroidism
11139,23281820,graves ophthalmopathy,hyperthyroidism
11140,23300222,graves ophthalmopathy,hyperthyroidism
11141,23811188,graves disease,hyperthyroidism
11141,23811188,hypothyroidism,hypothyroidism
11141,23811188,"thyroiditis, autoimmune",thyroiditis
11141,23811188,hashimoto disease,thyroiditis
11141,23811188,thyroiditis,thyroiditis
11141,23811188,thyroid gland,thyroid disease
11142,23327801,graves disease,hyperthyroidism
11142,23327801,graves' disease,hyperthyroidism
11142,23327801,thyroid gland,thyroid disease
11143,24629859,goiter,goiter
11143,24629859,hyperthyroidism,hyperthyroidism
11143,24629859,graves disease,hyperthyroidism
11143,24629859,graves' disease,hyperthyroidism
11143,24629859,thyroid hormone resistance syndrome,hyperthyroxinemia
11143,24629859,thyroid dysgenesis,hypothyroidism
11143,24629859,hypothyroidism,hypothyroidism
11143,24629859,thyroid disease,thyroid disease
11143,24629859,thyroid diseases,thyroid disease
11143,24629859,thyroid gland,thyroid disease
11144,23544831,graves disease,hyperthyroidism
11144,23544831,graves' disease,hyperthyroidism
11144,23544831,"thyroiditis, autoimmune",thyroiditis
11144,23544831,hashimoto disease,thyroiditis
11144,23544831,thyroiditis,thyroiditis
11144,23544831,thyroid disease,thyroid disease
11144,23544831,thyroid diseases,thyroid disease
11145,22632366,hyperthyroidism,hyperthyroidism
11145,22632366,graves' disease,hyperthyroidism
11145,22632366,graves ophthalmopathy,hyperthyroidism
11145,22632366,thyroid gland,thyroid disease
11146,22936184,goiter,goiter
11146,22936184,"goiter, nodular",goiter
11146,22936184,thyroid neoplasms,thyroid neoplasms
11146,22936184,"thyroid cancer, papillary",thyroid neoplasms
11147,23680527,graves ophthalmopathy,hyperthyroidism
11148,23931639,graves disease,hyperthyroidism
11148,23931639,graves' disease,hyperthyroidism
11148,23931639,thyroid neoplasms,thyroid neoplasms
11149,23374581,graves ophthalmopathy,hyperthyroidism
11150,22774211,graves disease,hyperthyroidism
11151,24386393,graves disease,hyperthyroidism
11151,24386393,graves' disease,hyperthyroidism
11152,23436894,hyperthyroidism,hyperthyroidism
11152,23436894,graves disease,hyperthyroidism
11152,23436894,graves' disease,hyperthyroidism
11153,22972181,graves disease,hyperthyroidism
11153,22972181,graves' disease,hyperthyroidism
11153,22972181,hashimoto disease,thyroiditis
11153,22972181,thyroiditis,thyroiditis
11154,22554965,graves ophthalmopathy,hyperthyroidism
11154,22554965,thyrotoxicosis,hyperthyroidism
11155,24307850,graves disease,hyperthyroidism
11155,24307850,thyroidectomy,thyroid disease
11156,23276963,graves disease,hyperthyroidism
11156,23276963,graves' disease,hyperthyroidism
11156,23276963,graves ophthalmopathy,hyperthyroidism
11156,23276963,thyroid gland,thyroid disease
11157,23264397,graves' disease,hyperthyroidism
11157,23264397,graves ophthalmopathy,hyperthyroidism
11158,22661653,graves ophthalmopathy,hyperthyroidism
11159,24379039,graves disease,hyperthyroidism
11159,24379039,graves' disease,hyperthyroidism
11160,23374582,graves ophthalmopathy,hyperthyroidism
11161,22957494,graves disease,hyperthyroidism
11161,22957494,hashimoto disease,thyroiditis
11161,22957494,thyroid gland,thyroid disease
11162,22411667,graves ophthalmopathy,hyperthyroidism
11163,23177093,hyperthyroidism,hyperthyroidism
11163,23177093,graves' disease,hyperthyroidism
11163,23177093,graves ophthalmopathy,hyperthyroidism
11164,22216984,graves ophthalmopathy,hyperthyroidism
11165,24033537,hyperthyroidism,hyperthyroidism
11165,24033537,graves ophthalmopathy,hyperthyroidism
11166,23757290,graves disease,hyperthyroidism
11166,23757290,hashimoto disease,thyroiditis
11167,23675779,graves disease,hyperthyroidism
11167,23675779,thyroid gland,thyroid disease
11168,23411907,graves ophthalmopathy,hyperthyroidism
11169,23038682,graves ophthalmopathy,hyperthyroidism
11170,21258054,graves disease,hyperthyroidism
11170,21258054,graves' disease,hyperthyroidism
11170,21258054,thyrotoxicosis,hyperthyroidism
11171,22616612,graves ophthalmopathy,hyperthyroidism
11172,22509692,graves ophthalmopathy,hyperthyroidism
11173,22288557,graves ophthalmopathy,hyperthyroidism
11174,22399514,graves' disease,hyperthyroidism
11174,22399514,graves ophthalmopathy,hyperthyroidism
11175,22517745,graves disease,hyperthyroidism
11175,22517745,graves ophthalmopathy,hyperthyroidism
11175,22517745,thyroid gland,thyroid disease
11176,22496495,hyperthyroidism,hyperthyroidism
11176,22496495,graves disease,hyperthyroidism
11176,22496495,graves' disease,hyperthyroidism
11176,22496495,thyroiditis,thyroiditis
11177,23348395,graves disease,hyperthyroidism
11177,23348395,graves' disease,hyperthyroidism
11177,23348395,thyroid neoplasms,thyroid neoplasms
11177,23348395,"thyroid cancer, papillary",thyroid neoplasms
11177,23348395,thyroid nodule,thyroid nodule
11177,23348395,thyroid gland,thyroid disease
11177,23348395,thyroidectomy,thyroid disease
11178,23265134,graves disease,hyperthyroidism
11179,22982787,graves disease,hyperthyroidism
11179,22982787,thyroid crisis,hyperthyroidism
11179,22982787,thyroid gland,thyroid disease
11180,22378101,graves disease,hyperthyroidism
11180,22378101,graves' disease,hyperthyroidism
11180,22378101,hypothyroidism,hypothyroidism
11180,22378101,hashimoto disease,thyroiditis
11180,22378101,thyroiditis,thyroiditis
11180,22378101,thyroid gland,thyroid disease
11181,22297058,graves disease,hyperthyroidism
11182,22058081,graves ophthalmopathy,hyperthyroidism
11182,22058081,thyroid gland,thyroid disease
11183,23109646,goiter,goiter
11183,23109646,graves disease,hyperthyroidism
11183,23109646,graves' disease,hyperthyroidism
11183,23109646,thyroid gland,thyroid disease
11184,23975854,graves ophthalmopathy,hyperthyroidism
11185,24041660,graves ophthalmopathy,hyperthyroidism
11186,23355197,graves disease,hyperthyroidism
11187,24177168,graves disease,hyperthyroidism
11187,24177168,graves' disease,hyperthyroidism
11187,24177168,thyroid disease,thyroid disease
11187,24177168,thyroid diseases,thyroid disease
11188,23954851,graves disease,hyperthyroidism
11188,23954851,graves' disease,hyperthyroidism
11189,23752601,graves disease,hyperthyroidism
11189,23752601,graves' disease,hyperthyroidism
11189,23752601,thyroid gland,thyroid disease
11190,23652295,graves disease,hyperthyroidism
11190,23652295,graves ophthalmopathy,hyperthyroidism
11191,23652294,graves disease,hyperthyroidism
11191,23652294,graves ophthalmopathy,hyperthyroidism
11192,23214061,graves disease,hyperthyroidism
11192,23214061,graves' disease,hyperthyroidism
11192,23214061,thyroid gland,thyroid disease
11193,23161182,graves ophthalmopathy,hyperthyroidism
11194,22926719,graves disease,hyperthyroidism
11194,22926719,graves' disease,hyperthyroidism
11195,23996993,graves disease,hyperthyroidism
11195,23996993,hashimoto disease,thyroiditis
11195,23996993,thyroid gland,thyroid disease
11196,23329193,hyperthyroidism,hyperthyroidism
11196,23329193,graves disease,hyperthyroidism
11196,23329193,hypothyroidism,hypothyroidism
11196,23329193,"thyroiditis, autoimmune",thyroiditis
11196,23329193,thyroiditis,thyroiditis
11196,23329193,thyroid disease,thyroid disease
11196,23329193,thyroid gland,thyroid disease
11197,21959369,graves ophthalmopathy,hyperthyroidism
11198,21801340,hyperthyroidism,hyperthyroidism
11198,21801340,graves ophthalmopathy,hyperthyroidism
11198,21801340,thyroiditis,thyroiditis
11199,22196093,hyperthyroidism,hyperthyroidism
11199,22196093,graves' disease,hyperthyroidism
11199,22196093,graves ophthalmopathy,hyperthyroidism
11199,22196093,thyroid nodule,thyroid nodule
11200,22745141,graves' disease,hyperthyroidism
11200,22745141,graves ophthalmopathy,hyperthyroidism
11201,23743527,graves ophthalmopathy,hyperthyroidism
11202,23379353,graves disease,hyperthyroidism
11202,23379353,graves' disease,hyperthyroidism
11202,23379353,hashimoto disease,thyroiditis
11202,23379353,thyroiditis,thyroiditis
11202,23379353,thyroid disease,thyroid disease
11203,24246805,hyperthyroidism,hyperthyroidism
11203,24246805,graves ophthalmopathy,hyperthyroidism
11203,24246805,hypothyroidism,hypothyroidism
11204,23505439,graves disease,hyperthyroidism
11204,23505439,graves' disease,hyperthyroidism
11205,23490308,hyperthyroidism,hyperthyroidism
11205,23490308,graves disease,hyperthyroidism
11205,23490308,graves' disease,hyperthyroidism
11206,22150820,graves ophthalmopathy,hyperthyroidism
11207,23849367,graves disease,hyperthyroidism
11207,23849367,thyrotoxicosis,hyperthyroidism
11208,23638863,graves disease,hyperthyroidism
11208,23638863,graves' disease,hyperthyroidism
11209,23617736,graves disease,hyperthyroidism
11209,23617736,graves' disease,hyperthyroidism
11210,23062582,graves ophthalmopathy,hyperthyroidism
11211,22816799,graves disease,hyperthyroidism
11211,22816799,graves' disease,hyperthyroidism
11211,22816799,hashimoto disease,thyroiditis
11211,22816799,thyroiditis,thyroiditis
11211,22816799,thyroid disease,thyroid disease
11211,22816799,thyroid diseases,thyroid disease
11212,22759245,hyperthyroidism,hyperthyroidism
11212,22759245,graves disease,hyperthyroidism
11212,22759245,graves' disease,hyperthyroidism
11213,24086448,hyperthyroidism,hyperthyroidism
11213,24086448,graves disease,hyperthyroidism
11213,24086448,graves' disease,hyperthyroidism
11213,24086448,graves ophthalmopathy,hyperthyroidism
11214,23386414,graves disease,hyperthyroidism
11214,23386414,graves' disease,hyperthyroidism
11215,22854236,hyperthyroidism,hyperthyroidism
11215,22854236,graves disease,hyperthyroidism
11215,22854236,graves' disease,hyperthyroidism
11215,22854236,hypothyroidism,hypothyroidism
11215,22854236,thyroid gland,thyroid disease
11216,22465395,graves ophthalmopathy,hyperthyroidism
11217,22489922,graves' disease,hyperthyroidism
11217,22489922,graves ophthalmopathy,hyperthyroidism
11218,23993710,graves disease,hyperthyroidism
11219,23866706,graves ophthalmopathy,hyperthyroidism
11220,24262983,hyperthyroidism,hyperthyroidism
11220,24262983,graves disease,hyperthyroidism
11220,24262983,graves' disease,hyperthyroidism
11220,24262983,"thyroiditis, autoimmune",thyroiditis
11220,24262983,thyroiditis,thyroiditis
11220,24262983,thyroid gland,thyroid disease
11221,23924986,graves ophthalmopathy,hyperthyroidism
11222,23335182,graves disease,hyperthyroidism
11222,23335182,graves' disease,hyperthyroidism
11222,23335182,hashimoto disease,thyroiditis
11222,23335182,thyroiditis,thyroiditis
11222,23335182,thyroid gland,thyroid disease
11223,23138201,graves ophthalmopathy,hyperthyroidism
11224,22821103,graves disease,hyperthyroidism
11224,22821103,graves' disease,hyperthyroidism
11224,22821103,thyroidectomy,thyroid disease
11225,22774612,graves disease,hyperthyroidism
11225,22774612,graves' disease,hyperthyroidism
11226,24227294,graves disease,hyperthyroidism
11226,24227294,graves' disease,hyperthyroidism
11226,24227294,hashimoto disease,thyroiditis
11226,24227294,thyroiditis,thyroiditis
11227,23166817,graves disease,hyperthyroidism
11227,23166817,thyrotoxicosis,hyperthyroidism
11227,23166817,thyroiditis,thyroiditis
11227,23166817,thyroid gland,thyroid disease
11228,22907781,graves disease,hyperthyroidism
11228,22907781,graves' disease,hyperthyroidism
11228,22907781,thyroid gland,thyroid disease
11228,22907781,thyroidectomy,thyroid disease
11229,22257545,graves disease,hyperthyroidism
11229,22257545,graves' disease,hyperthyroidism
11230,24105290,graves disease,hyperthyroidism
11230,24105290,thyroidectomy,thyroid disease
11231,23759259,graves disease,hyperthyroidism
11231,23759259,graves' disease,hyperthyroidism
11231,23759259,thyrotoxicosis,hyperthyroidism
11231,23759259,thyroidectomy,thyroid disease
11232,23002472,graves ophthalmopathy,hyperthyroidism
11233,22184678,graves ophthalmopathy,hyperthyroidism
11234,24007725,graves' disease,hyperthyroidism
11234,24007725,graves ophthalmopathy,hyperthyroidism
11235,23808640,graves ophthalmopathy,hyperthyroidism
11236,23907627,graves ophthalmopathy,hyperthyroidism
11237,23737508,graves disease,hyperthyroidism
11237,23737508,graves' disease,hyperthyroidism
11238,23527724,graves disease,hyperthyroidism
11238,23527724,graves' disease,hyperthyroidism
11238,23527724,hypothyroidism,hypothyroidism
11239,22782653,graves disease,hyperthyroidism
11239,22782653,graves' disease,hyperthyroidism
11239,22782653,hashimoto disease,thyroiditis
11239,22782653,thyroiditis,thyroiditis
11240,22669051,hyperthyroidism,hyperthyroidism
11240,22669051,graves disease,hyperthyroidism
11240,22669051,graves' disease,hyperthyroidism
11241,22650026,graves ophthalmopathy,hyperthyroidism
11242,22474732,graves disease,hyperthyroidism
11243,21868592,hyperthyroidism,hyperthyroidism
11243,21868592,graves disease,hyperthyroidism
11244,24137585,graves disease,hyperthyroidism
11244,24137585,graves' disease,hyperthyroidism
11244,24137585,thyroid gland,thyroid disease
11245,23558759,graves disease,hyperthyroidism
11245,23558759,graves' disease,hyperthyroidism
11245,23558759,thyroidectomy,thyroid disease
11246,23370416,graves ophthalmopathy,hyperthyroidism
11247,22833884,graves ophthalmopathy,hyperthyroidism
11248,22124787,graves ophthalmopathy,hyperthyroidism
11249,23482611,graves ophthalmopathy,hyperthyroidism
11250,22810983,goiter,goiter
11250,22810983,"goiter, endemic",goiter
11251,23001645,goiter,goiter
11251,23001645,"goiter, substernal",goiter
11252,23128686,goiter,goiter
11252,23128686,"goiter, nodular",goiter
11253,24289805,graves disease,hyperthyroidism
11253,24289805,graves' disease,hyperthyroidism
11254,23756266,hyperthyroidism,hyperthyroidism
11254,23756266,graves disease,hyperthyroidism
11254,23756266,graves' disease,hyperthyroidism
11254,23756266,thyrotoxicosis,hyperthyroidism
11255,22333849,graves ophthalmopathy,hyperthyroidism
11256,22082836,graves disease,hyperthyroidism
11256,22082836,graves' disease,hyperthyroidism
11257,23734883,graves disease,hyperthyroidism
11257,23734883,graves' disease,hyperthyroidism
11258,23685424,hyperthyroidism,hyperthyroidism
11258,23685424,graves ophthalmopathy,hyperthyroidism
11259,23457082,hyperthyroidism,hyperthyroidism
11259,23457082,graves disease,hyperthyroidism
11260,23390263,graves' disease,hyperthyroidism
11260,23390263,graves ophthalmopathy,hyperthyroidism
11261,23039890,graves disease,hyperthyroidism
11261,23039890,graves' disease,hyperthyroidism
11261,23039890,"thyroiditis, autoimmune",thyroiditis
11261,23039890,hashimoto disease,thyroiditis
11261,23039890,thyroiditis,thyroiditis
11261,23039890,thyroid disease,thyroid disease
11262,22663548,graves disease,hyperthyroidism
11262,22663548,graves' disease,hyperthyroidism
11262,22663548,graves ophthalmopathy,hyperthyroidism
11263,22512415,graves disease,hyperthyroidism
11263,22512415,graves' disease,hyperthyroidism
11263,22512415,thyrotoxicosis,hyperthyroidism
11263,22512415,thyroiditis,thyroiditis
11264,22049174,graves disease,hyperthyroidism
11264,22049174,graves' disease,hyperthyroidism
11265,22014107,graves disease,hyperthyroidism
11265,22014107,graves' disease,hyperthyroidism
11266,22472454,graves disease,hyperthyroidism
11266,22472454,graves' disease,hyperthyroidism
11267,21978591,graves ophthalmopathy,hyperthyroidism
11268,23954255,graves disease,hyperthyroidism
11268,23954255,thyroid disease,thyroid disease
11269,22237514,graves ophthalmopathy,hyperthyroidism
11270,23291679,graves disease,hyperthyroidism
11270,23291679,graves' disease,hyperthyroidism
11270,23291679,thyrotoxicosis,hyperthyroidism
11271,22942262,graves disease,hyperthyroidism
11271,22942262,graves' disease,hyperthyroidism
11271,22942262,hashimoto disease,thyroiditis
11271,22942262,thyroiditis,thyroiditis
11272,22888137,graves disease,hyperthyroidism
11272,22888137,graves' disease,hyperthyroidism
11272,22888137,thyroid gland,thyroid disease
11273,22154895,graves disease,hyperthyroidism
11273,22154895,graves' disease,hyperthyroidism
11274,22017306,graves disease,hyperthyroidism
11274,22017306,graves' disease,hyperthyroidism
11274,22017306,thyroid gland,thyroid disease
11275,23611318,goiter,goiter
11275,23611318,"goiter, nodular",goiter
11275,23611318,thyroid neoplasms,thyroid neoplasms
11275,23611318,hashimoto disease,thyroiditis
11275,23611318,thyroidectomy,thyroid disease
11276,24124099,graves ophthalmopathy,hyperthyroidism
11277,23900475,graves disease,hyperthyroidism
11277,23900475,graves' disease,hyperthyroidism
11278,22768665,graves disease,hyperthyroidism
11278,22768665,thyrotoxicosis,hyperthyroidism
11279,22571512,graves ophthalmopathy,hyperthyroidism
11280,24327149,graves disease,hyperthyroidism
11281,24174179,hyperthyroidism,hyperthyroidism
11281,24174179,graves disease,hyperthyroidism
11282,23214057,graves disease,hyperthyroidism
11282,23214057,graves' disease,hyperthyroidism
11282,23214057,thyroid dysgenesis,hypothyroidism
11282,23214057,thyroid disease,thyroid disease
11282,23214057,thyroid diseases,thyroid disease
11283,22673349,graves disease,hyperthyroidism
11283,22673349,graves' disease,hyperthyroidism
11283,22673349,hashimoto disease,thyroiditis
11283,22673349,thyroiditis,thyroiditis
11283,22673349,thyroid disease,thyroid disease
11284,22662162,graves disease,hyperthyroidism
11284,22662162,hashimoto disease,thyroiditis
11284,22662162,thyroiditis,thyroiditis
11284,22662162,thyroid disease,thyroid disease
11285,22136208,graves disease,hyperthyroidism
11285,22136208,graves' disease,hyperthyroidism
11286,24081513,graves disease,hyperthyroidism
11286,24081513,graves' disease,hyperthyroidism
11286,24081513,hashimoto disease,thyroiditis
11286,24081513,thyroiditis,thyroiditis
11286,24081513,thyroid disease,thyroid disease
11287,23047757,graves ophthalmopathy,hyperthyroidism
11288,22853844,graves ophthalmopathy,hyperthyroidism
11289,22617068,graves disease,hyperthyroidism
11289,22617068,graves' disease,hyperthyroidism
11290,22513650,graves disease,hyperthyroidism
11291,22160353,graves disease,hyperthyroidism
11291,22160353,graves' disease,hyperthyroidism
11291,22160353,thyroidectomy,thyroid disease
11292,22052422,graves disease,hyperthyroidism
11292,22052422,graves' disease,hyperthyroidism
11292,22052422,thyroid neoplasms,thyroid neoplasms
11292,22052422,thyroidectomy,thyroid disease
11293,23633206,graves ophthalmopathy,hyperthyroidism
11294,23839980,graves' disease,hyperthyroidism
11294,23839980,graves ophthalmopathy,hyperthyroidism
11295,22968823,graves ophthalmopathy,hyperthyroidism
11296,22706687,graves disease,hyperthyroidism
11296,22706687,graves' disease,hyperthyroidism
11296,22706687,hashimoto disease,thyroiditis
11296,22706687,thyroid disease,thyroid disease
11297,22547422,hyperthyroidism,hyperthyroidism
11297,22547422,graves disease,hyperthyroidism
11297,22547422,graves' disease,hyperthyroidism
11297,22547422,thyrotoxicosis,hyperthyroidism
11298,23320840,graves' disease,hyperthyroidism
11298,23320840,graves ophthalmopathy,hyperthyroidism
11299,23154533,graves disease,hyperthyroidism
11299,23154533,graves' disease,hyperthyroidism
11300,22752189,graves ophthalmopathy,hyperthyroidism
11301,22678805,graves disease,hyperthyroidism
11302,22972028,graves ophthalmopathy,hyperthyroidism
11303,22426167,graves disease,hyperthyroidism
11303,22426167,graves' disease,hyperthyroidism
11303,22426167,hypothyroidism,hypothyroidism
11303,22426167,thyroid disease,thyroid disease
11303,22426167,thyroid diseases,thyroid disease
11304,22317948,graves disease,hyperthyroidism
11304,22317948,graves' disease,hyperthyroidism
11304,22317948,thyroid nodule,thyroid nodule
11304,22317948,thyroidectomy,thyroid disease
11305,24302624,graves disease,hyperthyroidism
11305,24302624,graves' disease,hyperthyroidism
11306,23772432,graves disease,hyperthyroidism
11307,23342557,graves disease,hyperthyroidism
11307,23342557,thyroidectomy,thyroid disease
11308,23237747,graves ophthalmopathy,hyperthyroidism
11309,23027459,hyperthyroidism,hyperthyroidism
11309,23027459,graves disease,hyperthyroidism
11309,23027459,graves' disease,hyperthyroidism
11309,23027459,hypothyroidism,hypothyroidism
11309,23027459,thyroiditis,thyroiditis
11309,23027459,thyroid disease,thyroid disease
11309,23027459,thyroid diseases,thyroid disease
11310,22540955,graves disease,hyperthyroidism
11310,22540955,thyroid neoplasms,thyroid neoplasms
11310,22540955,hashimoto disease,thyroiditis
11310,22540955,thyroidectomy,thyroid disease
11311,21920992,graves disease,hyperthyroidism
11312,24057289,graves disease,hyperthyroidism
11313,23092922,graves' disease,hyperthyroidism
11313,23092922,graves ophthalmopathy,hyperthyroidism
11314,22871832,graves ophthalmopathy,hyperthyroidism
11315,24457627,graves disease,hyperthyroidism
11315,24457627,graves' disease,hyperthyroidism
11315,24457627,thyroid gland,thyroid disease
11315,24457627,thyroidectomy,thyroid disease
11316,24379258,graves' disease,hyperthyroidism
11316,24379258,graves ophthalmopathy,hyperthyroidism
11316,24379258,thyroid gland,thyroid disease
11317,24238052,graves disease,hyperthyroidism
11317,24238052,thyroid neoplasms,thyroid neoplasms
11317,24238052,thyroid disease,thyroid disease
11317,24238052,thyroid diseases,thyroid disease
11317,24238052,thyroidectomy,thyroid disease
11318,23982774,graves ophthalmopathy,hyperthyroidism
11319,23680216,graves disease,hyperthyroidism
11319,23680216,thyroid disease,thyroid disease
11320,23450444,hyperthyroidism,hyperthyroidism
11320,23450444,graves disease,hyperthyroidism
11320,23450444,graves' disease,hyperthyroidism
11321,23164360,graves disease,hyperthyroidism
11321,23164360,graves ophthalmopathy,hyperthyroidism
11322,22408141,graves disease,hyperthyroidism
11323,24311923,graves' disease,hyperthyroidism
11323,24311923,graves ophthalmopathy,hyperthyroidism
11324,24037886,graves disease,hyperthyroidism
11324,24037886,graves' disease,hyperthyroidism
11324,24037886,thyroid gland,thyroid disease
11324,24037886,thyroidectomy,thyroid disease
11325,24001049,graves ophthalmopathy,hyperthyroidism
11326,23691008,graves disease,hyperthyroidism
11326,23691008,graves' disease,hyperthyroidism
11326,23691008,"thyroiditis, autoimmune",thyroiditis
11326,23691008,thyroiditis,thyroiditis
11326,23691008,thyroid disease,thyroid disease
11326,23691008,thyroid diseases,thyroid disease
11327,22029640,graves ophthalmopathy,hyperthyroidism
11328,21946543,graves disease,hyperthyroidism
11329,22703859,graves ophthalmopathy,hyperthyroidism
11330,23803013,graves disease,hyperthyroidism
11331,22922367,hyperthyroidism,hyperthyroidism
11331,22922367,graves disease,hyperthyroidism
11331,22922367,graves' disease,hyperthyroidism
11331,22922367,thyrotoxicosis,hyperthyroidism
11332,22863718,graves disease,hyperthyroidism
11332,22863718,graves' disease,hyperthyroidism
11332,22863718,hashimoto disease,thyroiditis
11332,22863718,thyroiditis,thyroiditis
11333,23025526,hyperthyroidism,hyperthyroidism
11333,23025526,graves disease,hyperthyroidism
11333,23025526,graves' disease,hyperthyroidism
11333,23025526,hypothyroidism,hypothyroidism
11334,22082835,graves disease,hyperthyroidism
11334,22082835,graves' disease,hyperthyroidism
11335,22744391,euthyroid sick syndromes,euthyroid sick syndromes
11335,22744391,hyperthyroidism,hyperthyroidism
11335,22744391,graves ophthalmopathy,hyperthyroidism
11336,23188529,graves disease,hyperthyroidism
11336,23188529,graves' disease,hyperthyroidism
11336,23188529,thyroidectomy,thyroid disease
11337,24287789,goiter,goiter
11337,24287789,graves disease,hyperthyroidism
11337,24287789,graves' disease,hyperthyroidism
11338,24346624,graves disease,hyperthyroidism
11338,24346624,graves' disease,hyperthyroidism
11339,23343442,graves disease,hyperthyroidism
11340,24411304,goiter,goiter
11340,24411304,"goiter, nodular",goiter
11340,24411304,thyroid neoplasms,thyroid neoplasms
11340,24411304,hashimoto disease,thyroiditis
11340,24411304,thyroiditis,thyroiditis
11340,24411304,thyroidectomy,thyroid disease
11341,23633646,graves disease,hyperthyroidism
11341,23633646,graves' disease,hyperthyroidism
11341,23633646,thyrotoxicosis,hyperthyroidism
11341,23633646,hypothyroidism,hypothyroidism
11342,23374100,graves disease,hyperthyroidism
11342,23374100,hashimoto disease,thyroiditis
11342,23374100,thyroiditis,thyroiditis
11342,23374100,thyroid disease,thyroid disease
11342,23374100,thyroid gland,thyroid disease
11343,22632368,hyperthyroidism,hyperthyroidism
11343,22632368,graves' disease,hyperthyroidism
11343,22632368,graves ophthalmopathy,hyperthyroidism
11343,22632368,thyroid gland,thyroid disease
11343,22632368,thyroidectomy,thyroid disease
11344,24694489,graves disease,hyperthyroidism
11344,24694489,graves' disease,hyperthyroidism
11344,24694489,thyroidectomy,thyroid disease
11345,24206619,graves disease,hyperthyroidism
11345,24206619,graves' disease,hyperthyroidism
11345,24206619,thyroidectomy,thyroid disease
11346,23827012,graves disease,hyperthyroidism
11346,23827012,graves' disease,hyperthyroidism
11347,23718902,graves disease,hyperthyroidism
11347,23718902,graves' disease,hyperthyroidism
11347,23718902,thyroid gland,thyroid disease
11347,23718902,thyroidectomy,thyroid disease
11348,23667180,graves disease,hyperthyroidism
11348,23667180,graves' disease,hyperthyroidism
11348,23667180,thyroid disease,thyroid disease
11349,23597029,graves disease,hyperthyroidism
11349,23597029,graves' disease,hyperthyroidism
11350,22959230,graves disease,hyperthyroidism
11351,25443353,hyperthyroidism,hyperthyroidism
11351,25443353,graves disease,hyperthyroidism
11351,25443353,graves' disease,hyperthyroidism
11351,25443353,thyrotoxicosis,hyperthyroidism
11351,25443353,hypothyroidism,hypothyroidism
11351,25443353,"thyroiditis, autoimmune",thyroiditis
11351,25443353,hashimoto disease,thyroiditis
11351,25443353,thyroiditis,thyroiditis
11351,25443353,thyroid gland,thyroid disease
11352,23548728,hyperthyroidism,hyperthyroidism
11352,23548728,graves disease,hyperthyroidism
11352,23548728,graves' disease,hyperthyroidism
11352,23548728,thyrotoxicosis,hyperthyroidism
11353,22974142,graves ophthalmopathy,hyperthyroidism
11354,22709420,graves ophthalmopathy,hyperthyroidism
11355,21833679,hyperthyroidism,hyperthyroidism
11355,21833679,graves disease,hyperthyroidism
11355,21833679,graves' disease,hyperthyroidism
11355,21833679,thyrotoxicosis,hyperthyroidism
11356,23894794,goiter,goiter
11356,23894794,"goiter, endemic",goiter
11357,22438231,graves' disease,hyperthyroidism
11357,22438231,graves ophthalmopathy,hyperthyroidism
11358,23039881,hyperthyroidism,hyperthyroidism
11358,23039881,graves disease,hyperthyroidism
11358,23039881,graves' disease,hyperthyroidism
11358,23039881,thyroid nodule,thyroid nodule
11358,23039881,thyroid gland,thyroid disease
11359,23687429,graves ophthalmopathy,hyperthyroidism
11360,22787382,hyperthyroidism,hyperthyroidism
11360,22787382,graves disease,hyperthyroidism
11361,22538746,graves ophthalmopathy,hyperthyroidism
11362,22506015,graves disease,hyperthyroidism
