index,nct_id,category_age
1157,NCT04197960,[65 and more]
1158,NCT04211337,[0-17]
1158,NCT04211337,[18-65]
1158,NCT04211337,[65 and more]
1159,NCT04224792,[18-65]
1159,NCT04224792,[65 and more]
1161,NCT04238624,[18-65]
1161,NCT04238624,[65 and more]
1163,NCT04252001,[0-17]
1163,NCT04252001,[18-65]
1164,NCT04280081,[18-65]
1164,NCT04280081,[65 and more]
1167,NCT04285476,[18-65]
1167,NCT04285476,[65 and more]
1168,NCT04290663,[18-65]
1168,NCT04290663,[65 and more]
1169,NCT04299425,[18-65]
1169,NCT04299425,[65 and more]
1171,NCT04305561,[18-65]
1171,NCT04305561,[65 and more]
1172,NCT04309136,[0-17]
1172,NCT04309136,[18-65]
1172,NCT04309136,[65 and more]
1174,NCT04312087,[0-17]
1174,NCT04312087,[18-65]
1174,NCT04312087,[65 and more]
1175,NCT04320901,[18-65]
1175,NCT04320901,[65 and more]
1177,NCT04321954,[18-65]
1177,NCT04321954,[65 and more]
1178,NCT04327999,[18-65]
1178,NCT04327999,[65 and more]
1179,NCT04339478,[18-65]
1179,NCT04339478,[65 and more]
1180,NCT04354324,[0-17]
1180,NCT04354324,[18-65]
1180,NCT04354324,[65 and more]
1182,NCT04391244,[18-65]
1182,NCT04391244,[65 and more]
1188,NCT04400474,[18-65]
1188,NCT04400474,[65 and more]
1192,NCT04420754,[18-65]
1192,NCT04420754,[65 and more]
1195,NCT04447183,[18-65]
1195,NCT04447183,[65 and more]
1197,NCT04459273,[18-65]
1197,NCT04459273,[65 and more]
1200,NCT04462471,[18-65]
1200,NCT04462471,[65 and more]
1206,NCT04481893,[18-65]
1206,NCT04481893,[65 and more]
1207,NCT04521348,[18-65]
1207,NCT04521348,[65 and more]
1209,NCT04522570,[18-65]
1209,NCT04522570,[65 and more]
1210,NCT04524884,[18-65]
1210,NCT04524884,[65 and more]
1212,NCT04544111,[18-65]
1212,NCT04544111,[65 and more]
1218,NCT04551170,[0-17]
1221,NCT04552769,[18-65]
1221,NCT04552769,[65 and more]
1222,NCT04554680,[18-65]
1222,NCT04554680,[65 and more]
1223,NCT04560426,[18-65]
1224,NCT04563780,[0-17]
1224,NCT04563780,[18-65]
1224,NCT04563780,[65 and more]
1225,NCT04569513,[18-65]
1225,NCT04569513,[65 and more]
1227,NCT04574817,[18-65]
1227,NCT04574817,[65 and more]
1229,NCT04579757,[18-65]
1229,NCT04579757,[65 and more]
1232,NCT04589624,[18-65]
1232,NCT04589624,[65 and more]
1233,NCT04589884,[18-65]
1233,NCT04589884,[65 and more]
1236,NCT04612894,[0-17]
1236,NCT04612894,[18-65]
1236,NCT04612894,[65 and more]
1237,NCT04613323,[18-65]
1237,NCT04613323,[65 and more]
1239,NCT04619316,[18-65]
1239,NCT04619316,[65 and more]
1240,NCT04623801,[18-65]
1240,NCT04623801,[65 and more]
1242,NCT04624477,[18-65]
1242,NCT04624477,[65 and more]
1244,NCT04644315,[18-65]
1244,NCT04644315,[65 and more]
1245,NCT04664413,[18-65]
1245,NCT04664413,[65 and more]
1249,NCT04675710,[18-65]
1249,NCT04675710,[65 and more]
1252,NCT04693377,[18-65]
1252,NCT04693377,[65 and more]
1253,NCT04693936,[18-65]
1255,NCT04701203,[18-65]
1255,NCT04701203,[65 and more]
1257,NCT04712760,[0-17]
1257,NCT04712760,[18-65]
1259,NCT04731467,[18-65]
1259,NCT04731467,[65 and more]
1260,NCT04734457,[0-17]
1260,NCT04734457,[18-65]
1260,NCT04734457,[65 and more]
1262,NCT04739566,[18-65]
1262,NCT04739566,[65 and more]
1263,NCT04742608,[18-65]
1263,NCT04742608,[65 and more]
1265,NCT04742959,[18-65]
